" Copy"," Kopier"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Følg dette link for at afmelde <!-- Dette tag er til afmeldelseslink  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gæst"
"ID","ID"
"Invalid queue selected.","Den valgte kø er ugyldig"
"Invalid subscription ID.","Ugyldigt abonnement-ID"
"Invalid subscription confirmation code.","Ugydlig kode for abonnementbekræftelse"
"Message","Besked"
"Need to Confirm","Bekræft venligst"
"New Newsletter Template","Ny skabelon til nyhedsbreve"
"New Template","Ny skabelon"
"Newsletter","Nyhedsbrev"
"Newsletter Message Preview","Vis nyhedsbrev"
"Newsletter Problem Reports","Problemrapporter"
"Newsletter Queue","Køsystem"
"Newsletter Section","Nyhedsbrevssektion"
"Newsletter Sign-up:","Tilmelding til nyhedsbrev:"
"Newsletter Styles","Nyhedsbrev-styling"
"Newsletter Subscribers","Tilmeldte"
"Newsletter Subscription","Nyhedsbrevsabonnent"
"Newsletter Subscription Form Before","Nyhedsbrev tilmeldingsformular før"
"Newsletter Subscriptions","Nyhedsbrevsabonnement"
"Newsletter Templates","Skabeloner"
"Newsletter subscription confirmation","Nyhedsbrev - bekræftelse på tilmelding"
"Newsletter subscription success","Nyhedsbrev - tilmelding"
"Newsletter unsubscription success","Nyhedsbrev - afmelding"
"No Templates Found","Ingen skabeloner"
"No problems found.","Der er ikke registreret nogen problemer"
"No subscribers selected.","Ingen modtagere er valgt"
"Not Activated","Inaktiv"
"Not Sent","Ikke sendt"
"Pause","Pause"
"Paused","Sat på pause"
"Please enter a valid email address.","Skriv venligst en gyldig e-mail-adresse"
"Please enter new template name","Indtast navn på skabelon"
"Please select subscriber(s)","Vælg venligst modtager(e)"
"Preview","Vis"
"Preview Template","Vis skabelon"
"Processed","Udført"
"Queue Date Start","Startdato"
"Queue Finish","Slutdato"
"Queue Information","Kø - detaljer"
"Queue Newsletter...","Sæt nyhedsbrev i kø..."
"Queue Start","Startdato"
"Queue Subject","Emne (kø)"
"Recipients","Modtagere"
"Reset","Nulstil"
"Resume","Genoptag"
"Return HTML Version","Returner HTML-version"
"Save As","Gem som"
"Save Newsletter","Gem nyhedsbrev"
"Save Template","Gem skabelon"
"Save and Resume","Gem og fortsæt"
"Selected problem subscribers have been unsubscribed.","De problematiske abonnenter er afmeldt."
"Selected problems have been deleted.","De valgte problemer er slettet."
"Sender","Afsender"
"Sender Email","E-mail (afsender)"
"Sender Name","Navn (afsender)"
"Sending","Sender"
"Sent","Sendt"
"Sign Up for Our Newsletter:","Tilmeld dig vores nyhedsbrev:"
"Sign up for our newsletter","Tilmeld dig vores nyhedsbrev"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Beklager, men administratoren har ikke tilladt tilmelding for gæster. <a href=""%s"">Registrer dig</a> først."
"Start","Start"
"Status","Status"
"Store","Forretning"
"Store View","Visning af forretning"
"Subject","Overskrift"
"Submit","Send"
"Subscribe","Tilmeld"
"Subscribed","Tilmeldt"
"Subscriber","Abonnent"
"Subscribers","Administrer tilmeldte"
"Subscribers From","Tilmeldte fra"
"Subscription Options","Indstillinger for abonnement"
"Success Email Sender","Tilmeldingsmail - afsender"
"Success Email Template","Tilmeldingsmail - skabelon"
"Template Content","Indhold"
"Template Information","Detaljer"
"Template Name","Navn"
"Template Styles","Skabelonstyles"
"Template Subject","Overskrift"
"Template Type","Type"
"Thank you for your subscription.","Tak for din tilmelding"
"The subscription has been removed.","Tilmeldingen er fjernet."
"The subscription has been saved.","Tilmeldingen er gemt."
"There was a problem with the subscription.","Der var et problem med tilmeldelsen"
"There was a problem with the subscription: %s","Et problem opstod under tilmelding: %s"
"There was a problem with the un-subscription.","Der opstod et problem ved afmeldelsen."
"This email address is already assigned to another user.","Denne e-mailadresse er allerede tildelt en anden bruger."
"Type","Type"
"Unconfirmed","Ikke bekræftet"
"Unsubscribe","Afmeld"
"Unsubscribe Selected","Afmeld de valgte"
"Unsubscribed","Afmeldt"
"Unsubscription Email Sender","Afmeldingsmail - afsender"
"Unsubscription Email Template","Afmeldingsmail - skabelon"
"View Newsletter","Vis nyhedsbrev"
"Website","Website"
"You have been unsubscribed.","Du er nu afmeldt."
"Your subscription has been confirmed.","Din tilmelding er bekræftet."
