"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d prisregler for indkøbskurv baseret på egenskaben ""%s"" er deaktiveret."
"%s Coupon(s) have been generated","%s rabatkoder er genereret"
"Actions","Handlinger"
"If you select and save the rule you will be able to generate multiple coupon codes.","Hvis du vælger dette og gemmer reglen kan du generere flere rabatkoder."
"Inactive","Inaktiv"
"Item totals are not set for rule.","Reglens totalbeløb er ikke indstillet"
"Labels","Labels"
"Manage Coupon Codes","Administrer rabatkoder"
"Maximum Qty Discount is Applied To","Maks. antal varer som rabatten gives til"
"NOT LOGGED IN","Ikke logget ind"
"New Rule","Ny regel"
"No Coupon","Ingen rabatkupon"
"No","Nej"
"Not valid data provided","Ugyldige data angivet"
"Number of Uses","Antal brug"
"Numeric","Numerisk"
"Payment Method","Betalingsform"
"Percent of product price discount","Rabat (procent af pris)"
"Period","Periode"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Kombination af produktegenskaber"
"Products subselection","Kombination af produkter"
"Promotions","Prisregler"
"Public In RSS Feed","Offentlig i RSS Feed"
"Quantity in cart","Antal i kurv"
"Row total in cart","Antal varer i kurv"
"Rule Information","Regeldata"
"Rule Name","Navn"
"Rule is not defined","Regel er ikke defineret"
"Sales Discount Amount","Rabatbeløb"
"Sales Subtotal Amount","Subtotal"
"Sales Total Amount","Totalbeløb"
"Save and Continue Edit","Gem og fortsæt redigering"
"Shipping Country","Leveringsland"
"Shipping Method","Forsendelsesmetode"
"Shipping Postcode","Levering - postnummer"
"Shipping Region","Levering - område"
"Shipping State/Province","Levering - stat/provins"
"Shopping Cart Price Rule","Prisregel for indkøbskurv"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Special Price","Specialpris"
"Specific Coupon","Specifik rabatkupon"
"Status","Status"
"Stop Further Rules Processing","Stop regelkørsel herefter"
"Store View Specific Labels","Labels for specifikke forretningsvisninger"
"Subtotal Amount","Subtotal"
"Subtotal","Subtotal"
"The rule has been deleted.","Reglen er slettet."
"The rule has been saved.","Reglen er gemt."
"This rule no longer exists.","Denne regel eksisterer ikke længere"
"Times Used","Antal gange brugt"
"To Date","Udløbsdato"
"To Fixed Amount","Pris som fast beløb"
"To Fixed Value","Til fast værdi"
"To Percentage of the Original Price","Pris som procent af originalprisen"
"To Percentage","Til procent"
"Total Amount","Totalbeløb"
"Total Items Quantity","Samlet antal varer"
"Total Weight","Samlet vægt"
"Total","Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Kunne ikke oprette det ønskede antal rabatkoder. Kontroller indstillingerne og prøv igen."
"Unable to find a rule to delete.","Kunne ikke finde nogen regler at slette."
"Update prices using the following information","Opdater priser med følgende information"
"Update product's %s %s: %s","Opdater produkterne %s %s: %s"
"Update the Product","Opdater produktet"
"Usage limit enforced for logged in customers only","Anvendelse fungerer kun for kunder, der er logget ind."
"Use Auto Generation","Brug autogenerering"
"Used","Brugt"
"Uses per Coupon","Anvendelser pr. kupon"
"Uses per Customer","Anvendelser pr. kunde"
"Website","Websted"
"Websites","Websteder"
"Wrong rule specified.","Forkert regel angivet."
"Yes","Ja"
"total amount","total beløb"
"total quantity","total mængde"
